Resultats entre rondes  1  i  6 

Score = Mitja Pts * log(Rondes + 1) * %Victoria
És la millor manera que he trobat de comparar:
punts, nº de rondes i WinRate%


Pos   Nick del codi   Score      Mitja Pts  %Victoria  Games  || %T1     T1  | %T2     T2  | %T3     T3  | %T4     T4  | %T5     T5 
145   EQMKIIclean     2541.34    2444.25    75.00%     4      || 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
146   Seventeen1      2540.33    2393.36    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
147   _Metropolis_    2527.21    2381.00    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
148   BotOri3         2527.11    2380.91    54.55%     11     || 16.67%  6   | 100.00% 5   | 0.00%   0   | 0.00%   0   | 0.00%   0  
149   Pablo           2505.09    2145.60    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
150   Zen             2443.74    2511.67    50.00%     12     || 33.33%  6   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
151   Mar_Bevi        2434.68    2085.30    60.00%     10     || 66.67%  6   | 0.00%   2   | 100.00% 2   | 0.00%   0   | 0.00%   0  
152   Ines            2392.65    2049.30    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
153   shankss         2390.44    1842.67    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
154   Ant             2385.88    2043.50    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
155   Clara           2377.47    2036.30    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
156   Noia            2377.12    2036.00    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
157   好孩子             2345.47    2410.67    50.00%     12     || 33.33%  6   | 75.00%  4   | 0.00%   1   | 100.00% 1   | 0.00%   0  
158   Coop_v3         2326.39    2590.31    46.15%     13     || 33.33%  6   | 25.00%  4   | 100.00% 3   | 0.00%   0   | 0.00%   0  
159   Lechuga         2323.22    2188.82    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
160   liilxaan        2314.54    2180.64    54.55%     11     || 50.00%  6   | 33.33%  3   | 100.00% 2   | 0.00%   0   | 0.00%   0  
161   AlexII          2299.09    2363.00    50.00%     12     || 33.33%  6   | 50.00%  4   | 100.00% 2   | 0.00%   0   | 0.00%   0  
162   Puig            2284.82    2152.64    54.55%     11     || 50.00%  6   | 33.33%  3   | 100.00% 2   | 0.00%   0   | 0.00%   0  
163   provaV          2265.44    2328.42    50.00%     12     || 50.00%  6   | 0.00%   3   | 100.00% 3   | 0.00%   0   | 0.00%   0  
164   Wow             2238.45    2300.67    50.00%     12     || 33.33%  6   | 75.00%  4   | 0.00%   1   | 100.00% 1   | 0.00%   0  
165   Aespinosa1      2235.61    2106.27    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
166   Ngorongoro      2235.42    2106.09    54.55%     11     || 50.00%  6   | 33.33%  3   | 100.00% 2   | 0.00%   0   | 0.00%   0  
167   Bob             2208.06    1891.20    60.00%     10     || 66.67%  6   | 50.00%  2   | 0.00%   1   | 100.00% 1   | 0.00%   0  
168   Polvoron        2206.34    2267.67    50.00%     12     || 50.00%  6   | 66.67%  3   | 0.00%   1   | 0.00%   1   | 100.00% 1  
169   SunTzu          2206.08    2078.45    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
170   Amador_Rivas    2199.23    2072.00    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
171   Sapastre2       2193.54    2066.64    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
172   Wast            2190.85    2251.75    50.00%     12     || 50.00%  6   | 66.67%  3   | 0.00%   1   | 0.00%   1   | 100.00% 1  
173   Pita            2185.94    2433.92    46.15%     13     || 33.33%  6   | 50.00%  4   | 50.00%  2   | 100.00% 1   | 0.00%   0  
174   Saigon          2180.86    1867.90    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
